,BMP4,CCL2,Col1a1,EPAS1,IL8,MMP13,OPG,PDGFaa,TIMP1
Day1-2mM,2.142,0,1.107,0,1.182,3.077,0,1.169,-1.051
Day1-4mM,-1.843,0,-1.946,0,-1.661,-1.433,0,-1.565,-1.181
Day1-8mM,-1.873,0,-1.909,0,-1.499,-1.691,0,-2.393,-1.289
Day4-2mM,3.069,0,-1.557,8.569,-1.042,4.3,2.393,2.833,1.175
Day4-4mM,1.69,0,-8.752,3.846,-2.541,4.22,-1.157,2.68,-2.787
Day4-8mM,1.788,0,-3.693,7.743,-1.742,494.339,1.801,2.883,-2.201
Day7-2mM,-1.886,-1.502,-1.452,-1.558,-1.4,-2.283,-3.877,-1.203,-1.581
Day7-4mM,1.056,1.087,1.815,1.331,1.236,-1.274,-1.972,1.185,1.219
Day7-8mM,1.567,1.6,-1.072,1.387,1.016,1.278,-1.673,1.922,1.34
